name	index	f
Q9NSY1	0	1
O14976	1	1
Q96Q15	2	1
Q2M2I8	3	1
Q13555	4	0
Q9H4B4	5	0
Q9NYY3	6	0
Q02750	7	0
P68400	8	0
P19784	9	0
O14757	10	1
P43250	11	0
Q13315	12	0
O14920	13	0
Q9Y6M4	14	1
P50750	15	0
Q9UBE8	16	0
P11802	17	0
Q9BXM7	18	0
P28482	19	1
Q00534	20	0
P53779	21	0
Q00535	22	0
Q00536	23	1
P45984	24	0
P27361	25	1
Q8TD08	26	0
Q15131	27	0
O94921	28	1
Q9BWU1	29	0
Q96KB5	30	1
P51956	31	0
O43683	32	1
Q96GX5	33	1
Q96PY6	34	0
Q9BQI3	35	1
P36507	36	0
Q9P1W9	37	0
Q86V86	38	0
P11309	39	0
P42345	40	0
Q14004	41	1
P49336	42	0
Q00537	43	1
Q9NYV4	44	1
Q07002	45	1
Q8TAS1	46	0
Q16539	47	1
P50613	48	0
Q86UE8	49	0
Q96S44	50	0
O75716	51	0
P41279	52	0
Q6P3R8	53	0
Q86Y07	54	0
Q9HC98	55	0
Q15831	56	0
O00444	57	0
Q6ZN16	58	0
Q02779	59	0
Q9UKE5	60	0
Q96L34	61	1
Q15139	62	1
Q12852	63	0
Q56UN5	64	0
Q5TCY1	65	0
Q5TCX8	66	0
P80192	67	0
Q6IQ55	68	0
Q8IYT8	69	0
Q9NYL2	70	1
Q16584	71	1
P34947	72	0
O43318	73	0
Q99986	74	1
O14874	75	0
O00311	76	0
P37173	77	0
P33981	78	0
Q14164	79	1
Q9UKI8	80	1
Q13873	81	0
Q9NZJ5	82	1
P57078	83	0
P53350	84	0
Q8WXR4	85	0
Q9BX84	86	0
Q13523	87	1
Q9Y4K4	88	1
O95747	89	1
P00540	90	0
Q13188	91	1
O00418	92	1
Q9UEE5	93	0
Q9H2K8	94	1
Q9UEW8	95	1
Q96RR4	96	0
Q15835	97	0
Q8N5S9	98	0
O15111	99	0
Q96QP1	100	0
O00238	101	0
P36894	102	0
P53355	103	1
P49137	104	1
Q86UX6	105	0
Q16566	106	0
Q6P2M8	107	0
Q9UIK4	108	0
O43293	109	0
Q8IU85	110	0
O75582	111	0
Q96PF2	112	0
P51812	113	1
O75676	114	1
P49841	115	1
Q32MK0	116	0
Q6P5Z2	117	0
Q14012	118	1
O14965	119	0
Q16512	120	1
Q16513	121	1
Q8N568	122	0
O96017	123	0
O15530	124	1
