name	index	f
Q9NSY1	0	1
O14976	1	1
Q96Q15	2	1
Q2M2I8	3	1
Q13555	4	1
Q9H4B4	5	0
Q9NYY3	6	0
Q02750	7	1
P68400	8	0
P19784	9	0
O14757	10	1
P43250	11	0
Q13315	12	1
O14920	13	1
Q9Y6M4	14	1
Q00534	15	0
Q00526	16	0
P24941	17	0
P11802	18	0
P06493	19	1
Q00535	20	0
P53778	21	0
P28482	22	1
Q9UPZ9	23	0
Q16539	24	1
Q9UBE8	25	0
P50613	26	1
O94921	27	1
Q13523	28	1
Q15759	29	0
P50750	30	1
Q9BXM7	31	0
P53779	32	0
Q00536	33	1
P45984	34	1
P27361	35	1
Q8TD08	36	0
Q15131	37	0
Q9BWU1	38	1
P51617	39	0
Q13164	40	0
Q5TCY1	41	0
Q8N5S9	42	0
Q96RR4	43	1
P51956	44	1
Q9NWZ3	45	0
Q8IW41	46	1
P49336	47	0
P49674	48	1
P45983	49	0
O15264	50	0
Q07002	51	1
Q15831	52	1
Q9BX84	53	0
Q13546	54	1
O95382	55	1
O75385	56	1
Q6IQ55	57	1
Q9BYT3	58	0
Q9BYP7	59	0
Q96PY6	60	1
O75460	61	0
Q99683	62	1
Q96KB5	63	1
O43683	64	1
Q96GX5	65	1
Q9BQI3	66	1
P36507	67	1
Q9P1W9	68	0
Q86V86	69	0
P11309	70	0
P42345	71	1
Q14004	72	1
Q00537	73	1
Q9NYV4	74	1
Q8TAS1	75	0
Q86UE8	76	1
Q96S44	77	1
O75716	78	0
P41279	79	1
Q6P3R8	80	0
Q86Y07	81	0
Q9HC98	82	0
O00444	83	0
Q6ZN16	84	1
Q02779	85	0
Q9UKE5	86	1
Q96L34	87	1
Q15139	88	1
Q14680	89	1
Q16512	90	1
Q9Y572	91	1
Q8IY84	92	0
Q8N568	93	0
Q9BXA7	94	0
Q96PF2	95	0
Q9NRH2	96	1
O94806	97	0
O15075	98	0
Q9H0K1	99	1
O96017	100	1
Q86UX6	101	1
Q9UHD2	102	1
Q14164	103	1
Q16654	104	0
Q8NG66	105	0
Q92918	106	0
Q9Y4K4	107	1
P51957	108	1
Q15118	109	0
Q8N4C8	110	1
Q8IVH8	111	1
Q12852	112	0
Q56UN5	113	0
Q5TCX8	114	1
P80192	115	0
Q8IYT8	116	0
Q9NYL2	117	1
Q16584	118	1
P34947	119	0
O43318	120	1
Q99986	121	1
O14874	122	1
