name	index	f
Q96Q15	0	1
Q9HBH9	1	0
Q9H1R3	2	0
Q9BYP7	3	0
Q14680	4	1
Q9UIK4	5	0
Q9BUB5	6	0
Q86YV6	7	0
O43293	8	0
Q9NQU5	9	0
O75914	10	0
Q13535	11	1
Q9NRH2	12	0
Q99986	13	0
Q13237	14	0
P11802	15	0
Q00535	16	0
Q00534	17	0
P06493	18	0
Q14004	19	0
Q16539	20	0
Q9NYV4	21	1
P53778	22	0
P28482	23	1
P48730	24	1
P27361	25	1
Q8TF76	26	0
Q00536	27	1
P49674	28	0
Q9BXM7	29	1
Q16584	30	0
Q76MJ5	31	0
Q5TCX8	32	0
Q05513	33	0
O75460	34	0
P80192	35	0
Q02779	36	0
Q8TD08	37	0
Q5S007	38	0
P05771	39	0
P17252	40	0
Q96QT4	41	0
P24723	42	0
Q9NWZ3	43	0
P19525	44	1
Q16654	45	0
Q15118	46	0
O43353	47	0
P57058	48	0
Q13177	49	0
O14965	50	0
Q13153	51	1
O96013	52	0
Q9P286	53	0
O75676	54	1
P53355	55	0
Q9BXA6	56	0
P49840	57	0
Q00526	58	0
P24941	59	0
Q15131	60	0
P20794	61	0
Q13188	62	1
Q13043	63	1
Q56UN5	64	0
Q8WXR4	65	0
Q6XUX3	66	0
O00418	67	1
Q86SG6	68	0
Q8NEV4	69	0
Q9NYL2	70	0
Q8IYT8	71	0
Q13976	72	0
O75385	73	1
P22612	74	0
P51955	75	0
Q96GD4	76	0
Q9P1W9	77	0
Q86V86	78	0
P11309	79	0
Q09013	80	0
P22694	81	0
Q9UQB9	82	0
Q5VT25	83	0
P51817	84	0
Q32MK0	85	0
O75116	86	1
P51812	87	0
Q9UBS0	88	0
O14578	89	1
O15111	90	0
Q13164	91	0
Q8N5S9	92	0
Q96RR4	93	0
Q9Y6M4	94	0
P41279	95	0
P48729	96	0
P78368	97	0
Q9NYY3	98	0
O14920	99	0
Q9HCP0	100	0
P36507	101	1
P51956	102	0
Q96GX5	103	1
O94804	104	1
Q9H0K1	105	0
Q8TDX7	106	0
Q8TD19	107	1
Q9BYT3	108	0
Q13163	109	0
Q15831	110	0
Q9H2G2	111	1
Q9Y4K4	112	0
Q9Y2H1	113	1
Q8WTQ7	114	0
P34947	115	0
P43250	116	0
Q15835	117	0
Q96S44	118	0
P19784	119	0
P68400	120	0
