name	index	f
P11802	0	0
Q00535	1	0
Q00534	2	0
P06493	3	0
Q14004	4	0
Q16539	5	0
Q9NYV4	6	1
P53778	7	0
P28482	8	0
P48730	9	1
P27361	10	0
Q8TF76	11	0
Q00536	12	0
P49674	13	0
Q9BXM7	14	0
Q16584	15	0
Q76MJ5	16	0
Q5TCX8	17	0
Q05513	18	0
O75460	19	0
P80192	20	0
Q02779	21	0
Q8TD08	22	0
Q5S007	23	0
P05771	24	0
P17252	25	0
Q96QT4	26	0
P24723	27	0
Q9NWZ3	28	0
P19525	29	1
Q16654	30	0
Q15118	31	0
O43353	32	0
P57058	33	0
Q13177	34	0
O14965	35	0
Q13153	36	0
Q9NQU5	37	0
O75914	38	0
Q9NRH2	39	0
O96013	40	0
Q9P286	41	0
O75676	42	0
P53355	43	0
Q9BXA6	44	0
Q8IYT8	45	0
Q13976	46	0
Q13237	47	0
Q9BYP7	48	0
O75385	49	1
P22612	50	0
P51955	51	0
Q96GD4	52	0
O15111	53	0
Q13164	54	0
Q8N5S9	55	0
Q96RR4	56	0
Q9Y6M4	57	0
P41279	58	0
P48729	59	0
P78368	60	0
Q13188	61	0
Q9NYY3	62	0
O14920	63	0
Q9HCP0	64	0
Q6XUX3	65	0
Q9UQB9	66	0
Q15831	67	0
Q9HBH9	68	0
O94804	69	0
Q9H2G2	70	1
Q9Y4K4	71	0
Q9Y2H1	72	0
P22694	73	0
Q8IXL6	74	0
Q86UE8	75	0
Q9H4B4	76	0
Q13555	77	0
Q9UKI8	78	0
Q13315	79	0
P19784	80	0
P53350	81	0
P68400	82	0
O14874	83	0
Q13554	84	0
Q8WTQ7	85	0
Q8N752	86	0
Q2M2I8	87	1
O14976	88	0
Q9H1R3	89	0
O75716	90	0
Q9NSY1	91	0
Q96KB5	92	1
P33981	93	1
P49841	94	0
Q13523	95	0
P49840	96	0
Q8TAS1	97	0
Q9UBE8	98	0
P50750	99	0
Q96Q15	100	0
P50613	101	0
Q9UQM7	102	0
Q13535	103	1
Q13557	104	0
Q15139	105	0
Q9NRM7	106	0
P78527	107	0
Q96RG2	108	0
Q96GX5	109	1
Q15418	110	0
Q52WX2	111	0
P32298	112	0
Q5TCY1	113	0
O00444	114	0
Q6IQ55	115	0
Q9UEE5	116	0
P34947	117	0
P43250	118	0
P25098	119	0
P35626	120	0
P27037	121	0
P24941	122	0
Q9UPE1	123	0
P45983	124	0
O15264	125	0
P45984	126	0
Q86Z02	127	0
O94921	128	0
Q15131	129	0
Q9Y463	130	0
Q9UQ07	131	0
Q13627	132	0
Q9H422	133	0
Q8NE63	134	0
Q9NR20	135	0
Q92630	136	0
Q00537	137	0
Q07002	138	0
P53779	139	0
P49336	140	0
Q15759	141	0
Q9BWU1	142	0
Q15835	143	0
O43781	144	0
P49761	145	0
Q9HAZ1	146	0
P49760	147	0
P49759	148	0
Q9H2X6	149	0
Q9HC98	150	0
Q8IW41	151	0
P49137	152	0
Q96PF2	153	0
P04049	154	0
Q9P289	155	0
Q92918	156	0
P15735	157	0
Q12851	158	0
P37173	159	0
Q14164	160	0
Q9NZJ5	161	0
Q9BQI3	162	0
Q9UHD2	163	0
P17612	164	0
Q86UX6	165	0
Q9UIK4	166	0
Q9BUB5	167	0
Q9Y572	168	0
P36896	169	0
P36897	170	0
Q12852	171	0
P15056	172	0
Q9NY57	173	0
Q16644	174	0
O00418	175	1
Q9BXA7	176	0
Q13131	177	1
P27448	178	0
O00238	179	0
Q8N568	180	0
Q96L34	181	0
Q7KZI7	182	1
Q13705	183	0
Q00526	184	0
P42345	185	0
O43293	186	0
Q96QP1	187	0
O95835	188	1
Q32MK0	189	0
Q15746	190	0
Q9P1W9	191	0
P51812	192	0
Q9P2K8	193	0
Q99759	194	0
Q9BX84	195	0
P51957	196	1
O43318	197	0
Q9UEW8	198	0
O95819	199	0
P36507	200	0
Q8N4C8	201	1
P51956	202	0
P51817	203	0
Q96BR1	204	0
Q05655	205	0
Q8IY84	206	0
O15075	207	0
Q6ZN16	208	0
O95382	209	1
Q99683	210	0
O00506	211	0
Q9Y2U5	212	0
Q9UKE5	213	0
Q86Y07	214	0
Q9NYL2	215	0
O43683	216	0
O14757	217	0
Q9H093	218	0
P51617	219	0
Q13546	220	0
Q6P2M8	221	0
Q9P0L2	222	0
Q8TDC3	223	0
Q8IU85	224	0
Q04759	225	0
Q96SB4	226	1
Q15349	227	0
Q86V86	228	0
Q9UK32	229	0
P23443	230	1
Q9UBS0	231	0
O00311	232	0
O00141	233	0
P20794	234	0
O95747	235	0
Q56UN5	236	0
Q96S44	237	0
Q9H2K8	238	0
P78362	239	0
O14578	240	0
Q16513	241	1
Q7L7X3	242	0
Q9H0K1	243	0
Q16512	244	0
Q9UL54	245	0
P41743	246	1
Q16816	247	0
Q9H4A3	248	1
Q99986	249	0
Q9Y6E0	250	0
Q8TD19	251	1
Q9BZL6	252	1
Q09013	253	0
Q14012	254	0
Q13043	255	0
Q99558	256	0
O94806	257	1
O75116	258	0
Q9BYT3	259	0
Q13464	260	1
Q02156	261	0
Q96NX5	262	0
Q96J92	263	0
Q14680	264	0
P11309	265	0
O60285	266	0
Q8WXR4	267	0
Q8NEV4	268	0
Q96PY6	269	0
Q13873	270	1
Q02750	271	0
Q13233	272	0
Q6P3R8	273	0
P57078	274	0
Q86SG6	275	0
Q13163	276	0
Q16566	277	0
Q8IVH8	278	0
Q8NG66	279	0
Q9UPZ9	280	0
Q04771	281	0
P36894	282	0
Q6P5Z2	283	0
P00540	284	0
Q9Y2K2	285	0
P05129	286	0
Q8TDX7	287	0
P54646	288	0
Q86YV6	289	0
O75582	290	0
P57059	291	1
Q8IWQ3	292	0
Q00532	293	0
O15530	294	0
Q9Y243	295	0
P31751	296	0
O96017	297	0
O76039	298	0
Q15208	299	0
Q5VT25	300	0
Q9Y5S2	301	0
P31749	302	0
P53667	303	0
P30291	304	1
Q13470	305	1
P53671	306	0
Q59H18	307	0
B4DV95	308	0
Q08345	309	0
Q01538	310	0
Q15569	311	0
A0A024R906	312	0
A0A024RD88	313	0
